2theta,intensity
30.17085168,184
30.19111677,227
30.21138186,236
30.23164695,238
30.25191204,283
30.27217712,316
30.29244221,343
30.3127073,349
30.33297239,372
30.35323748,348
30.37350257,319
30.39376766,348
30.41403274,319
30.43429783,282
30.45456292,288
30.47482801,238
30.4950931,239
30.51535819,246
30.53562328,209
30.55588837,214
30.57615345,207
30.59641854,201
30.61668363,170
30.63694872,172
30.65721381,163
30.6774789,142
30.69774399,137
30.71800908,134
30.73827416,152
30.75853925,133
30.77880434,114
30.79906943,127
30.81933452,122
30.83959961,107
30.8598647,99
30.88012978,86
30.90039487,85
30.92065996,99
30.94092505,79
30.96119014,94
30.98145523,96
31.00172032,84
31.02198541,81
31.04225049,89
31.06251558,85
31.08278067,97
31.10304576,106
31.12331085,109
31.14357594,105
31.16384103,132
31.18410612,99
31.2043712,136
31.22463629,133
31.24490138,120
31.26516647,111
31.28543156,126
31.30569665,103
31.32596174,94
31.34622683,95
31.36649191,124
31.386757,110
31.40702209,109
31.42728718,92
31.44755227,88
31.46781736,98
31.48808245,88
31.50834753,84
31.52861262,85
31.54887771,86
31.5691428,84
31.58940789,92
31.60967298,102
31.62993807,80
31.65020316,89
31.67046824,89
31.69073333,99
31.71099842,92
31.73126351,89
31.7515286,100
31.77179369,64
31.79205878,83
31.81232387,72
31.83258895,68
31.85285404,72
31.87311913,72
31.89338422,68
31.91364931,59
31.9339144,78
31.95417949,86
31.97444457,89
31.99470966,82
32.01497475,66
32.03523984,82
32.05550493,81
32.07577002,81
32.09603511,83
32.1163002,92
32.13656528,89
32.15683037,63
32.17709546,78
32.19736055,75
32.21762564,89
32.23789073,89
32.25815582,83
32.27842091,69
32.29868599,93
32.31895108,81
32.33921617,88
32.35948126,95
32.37974635,96
32.40001144,99
32.42027653,83
32.44054161,105
32.4608067,96
32.48107179,102
32.50133688,97
32.52160197,100
32.54186706,110
32.56213215,116
32.58239724,132
32.60266232,124
32.62292741,111
32.6431925,92
32.66345759,111
32.68372268,115
32.70398777,121
32.72425286,102
32.74451795,89
32.76478303,88
32.78504812,92
32.80531321,92
32.8255783,75
32.84584339,83
32.86610848,99
32.88637357,96
32.90663865,84
32.92690374,86
32.94716883,98
32.96743392,99
32.98769901,76
33.0079641,106
33.02822919,93
33.04849428,115
33.06875936,98
33.08902445,105
33.10928954,100
33.12955463,110
33.14981972,92
33.17008481,106
33.1903499,82
33.21061499,97
33.23088007,85
33.25114516,98
33.27141025,98
33.29167534,71
33.31194043,88
33.33220552,85
33.35247061,109
33.3727357,105
33.39300078,110
33.41326587,112
33.43353096,112
33.45379605,117
33.47406114,128
33.49432623,169
33.51459132,164
33.5348564,189
33.55512149,208
33.57538658,241
33.59565167,343
33.61591676,396
33.63618185,423
33.65644694,514
33.67671203,496
33.69697711,495
33.7172422,438
33.73750729,362
33.75777238,349
33.77803747,343
33.79830256,277
33.81856765,254
33.83883274,188
33.85909782,152
33.87936291,153
33.899628,127
33.91989309,133
33.94015818,121
33.96042327,122
33.98068836,105
34.00095344,88
34.02121853,89
34.04148362,110
34.06174871,85
34.0820138,84
34.10227889,76
34.12254398,80
34.14280907,68
34.16307415,79
34.18333924,71
34.20360433,75
34.22386942,77
34.24413451,84
34.2643996,76
34.28466469,82
34.30492978,83
34.32519486,70
34.34545995,94
34.36572504,90
34.38599013,99
34.40625522,90
34.42652031,98
34.4467854,107
34.46705048,92
34.48731557,112
34.50758066,101
34.52784575,121
34.54811084,88
34.56837593,106
34.58864102,102
34.60890611,87
34.62917119,80
34.64943628,83
34.66970137,87
34.68996646,84
34.71023155,71
34.73049664,85
34.75076173,94
34.77102682,77
34.7912919,73
34.81155699,76
34.83182208,63
34.85208717,75
34.87235226,62
34.89261735,78
34.91288244,69
34.93314752,63
34.95341261,67
34.9736777,71
34.99394279,68
35.01420788,70
35.03447297,87
35.05473806,70
35.07500315,82
35.09526823,70
35.11553332,68
35.13579841,83
35.1560635,95
35.17632859,68
35.19659368,70
35.21685877,92
35.23712386,91
35.25738894,91
35.27765403,96
35.29791912,92
35.31818421,100
35.3384493,89
35.35871439,97
35.37897948,89
35.39924457,80
35.41950965,96
35.43977474,86
35.46003983,71
35.48030492,91
35.50057001,72
35.5208351,76
35.54110019,72
35.56136527,68
35.58163036,76
35.60189545,69
35.62216054,67
35.64242563,79
35.66269072,92
35.68295581,82
35.7032209,82
35.72348598,74
35.74375107,86
35.76401616,90
35.78428125,86
35.80454634,98
35.82481143,90
35.84507652,95
35.86534161,98
35.88560669,111
35.90587178,101
35.92613687,95
35.94640196,116
35.96666705,134
35.98693214,118
36.00719723,147
36.02746231,131
36.0477274,152
36.06799249,166
36.08825758,184
36.10852267,174
36.12878776,185
36.14905285,192
36.16931794,172
36.18958302,166
36.20984811,159
36.2301132,142
36.25037829,138
36.27064338,149
36.29090847,154
36.31117356,125
36.33143865,127
36.35170373,97
36.37196882,105
36.39223391,111
36.412499,98
36.43276409,104
36.45302918,91
36.47329427,94
36.49355935,100
36.51382444,89
36.53408953,85
36.55435462,92
36.57461971,87
36.5948848,89
36.61514989,81
36.63541498,79
36.65568006,81
36.67594515,73
36.69621024,83
36.71647533,62
36.73674042,70
36.75700551,86
36.7772706,87
36.79753569,73
36.81780077,83
36.83806586,78
36.85833095,68
36.87859604,63
36.89886113,80
36.91912622,64
36.93939131,58
36.95965639,67
36.97992148,49
37.00018657,69
37.02045166,66
37.04071675,66
37.06098184,56
37.08124693,61
37.10151202,66
37.1217771,67
37.14204219,83
37.16230728,68
37.18257237,79
37.20283746,72
37.22310255,58
37.24336764,44
37.26363273,59
37.28389781,61
37.3041629,49
37.32442799,73
37.34469308,58
37.36495817,65
37.38522326,59
37.40548835,70
37.42575344,52
37.44601852,43
37.46628361,62
37.4865487,57
37.50681379,62
37.52707888,54
37.54734397,65
37.56760906,65
37.58787414,53
37.60813923,69
37.62840432,52
37.64866941,55
37.6689345,42
37.68919959,67
37.70946468,53
37.72972977,64
37.74999485,59
37.77025994,55
37.79052503,59
37.81079012,62
37.83105521,50
37.8513203,64
37.87158539,60
37.89185048,56
37.91211556,64
37.93238065,75
37.95264574,59
37.97291083,74
37.99317592,52
38.01344101,62
38.0337061,60
38.05397118,61
38.07423627,56
38.09450136,56
38.11476645,54
38.13503154,38
38.15529663,66
38.17556172,47
38.19582681,42
38.21609189,55
38.23635698,54
38.25662207,46
38.27688716,48
38.29715225,51
38.31741734,66
38.33768243,51
38.35794752,59
38.3782126,65
38.39847769,50
38.41874278,57
38.43900787,65
38.45927296,68
38.47953805,73
38.49980314,75
38.52006822,65
38.54033331,57
38.5605984,65
38.58086349,72
38.60112858,63
38.62139367,52
38.64165876,48
38.66192385,62
38.68218893,63
38.70245402,47
38.72271911,62
38.7429842,61
38.76324929,55
38.78351438,58
38.80377947,54
38.82404456,54
38.84430964,45
38.86457473,44
38.88483982,49
38.90510491,45
38.92537,41
38.94563509,51
38.96590018,39
38.98616526,56
39.00643035,52
39.02669544,58
39.04696053,37
39.06722562,41
39.08749071,49
39.1077558,40
39.12802089,51
39.14828597,48
39.16855106,41
39.18881615,43
39.20908124,29
39.22934633,41
39.24961142,42
39.26987651,43
39.2901416,35
39.31040668,39
39.33067177,56
39.35093686,44
39.37120195,47
39.39146704,40
39.41173213,46
39.43199722,44
39.45226231,50
39.47252739,43
