2theta,Intensity 
57.792168,271
57.812433,238
57.832698,250
57.852963,242
57.873228,222
57.893493,203
57.913758,185
57.934023,174
57.954288,145
57.974553,124
57.994818,107
58.015084,110
58.035349,80
58.055614,83
58.075879,89
58.096144,79
58.116409,75
58.136674,69
58.156939,59
58.177204,58
58.197469,60
58.217734,60
58.238,60
58.258265,62
58.27853,62
58.298795,61
58.31906,53
58.339325,55
58.35959,61
58.379855,54
58.40012,64
58.420385,56
58.44065,67
58.460916,45
58.481181,63
58.501446,42
58.521711,55
58.541976,57
58.562241,64
58.582506,66
58.602771,54
58.623036,50
58.643301,49
58.663566,54
58.683831,53
58.704097,42
58.724362,48
58.744627,54
58.764892,50
58.785157,59
58.805422,53
58.825687,50
58.845952,47
58.866217,46
58.886482,50
58.906747,47
58.927013,44
58.947278,57
58.967543,45
58.987808,41
59.008073,66
59.028338,47
59.048603,44
59.068868,51
59.089133,54
59.109398,63
59.129663,65
59.149929,42
59.170194,57
59.190459,60
59.210724,53
59.230989,71
59.251254,54
59.271519,61
59.291784,49
59.312049,52
59.332314,45
59.352579,58
59.372844,57
59.39311,55
59.413375,57
59.43364,47
59.453905,53
59.47417,61
59.494435,57
59.5147,58
59.534965,53
59.55523,53
59.575495,46
59.59576,52
59.616026,52
59.636291,42
59.656556,60
59.676821,67
59.697086,53
59.717351,61
59.737616,46
59.757881,45
59.778146,67
59.798411,53
59.818676,54
59.838942,45
59.859207,45
59.879472,64
59.899737,52
59.920002,64
59.940267,47
59.960532,50
59.980797,66
60.001062,64
60.021327,53
60.041592,56
60.061858,41
60.082123,48
60.102388,64
60.122653,49
60.142918,48
60.163183,54
60.183448,42
60.203713,64
